Date;Retail and food services sales, total;Retail sales and food services excl motor vehicle and parts;Retail sales and food services excl gasoline stations;Retail sales and food services excl motor vehicle and parts and gasoline stations;Retail sales, total;Retail sales, total (excl. motor vehicle and parts dealers);Motor vehicle and parts dealers;Automobile and other motor vehicle dealers;Automobile dealers;New car dealers;Used car dealers;Automotive parts, acc., and tire stores;Furniture, home furn, electronics, and appliance stores;Furniture and home furnishings stores;Furniture stores;Home furnishings stores;Floor covering stores;All other home furnishings stores;Electronics and appliance stores;Household appliance stores;Electronics stores;Building mat. and garden equip. and supplies dealers;Building mat. and supplies dealers;Paint and wallpaper stores;Hardware stores;Food and beverage stores;Grocery stores;Supermarkets and other grocery (except convenience) stores;Beer, wine, and liquor stores;Health and personal care stores;Pharmacies and drug stores;Gasoline stations;Clothing and clothing access. stores;Clothing stores;Men's clothing stores;Women's clothing stores;Family clothing stores;Other clothing stores;Shoe stores;Jewelry stores;Sporting goods, hobby, musical instrument, and book stores;Sporting goods stores;Hobby, toy, and game stores;Book stores;General merchandise stores;Department stores;Department stores(excl. discount department stores);Discount dept. stores;Other general merchandise stores;Warehouse clubs and superstores;All other gen. merchandise stores;Miscellaneous store retailers;Office supplies, stationery, and gift stores;Office supplies and stationery stores;Gift, novelty, and souvenir stores;Used merchandise stores;Nonstore retailers;Electronic shopping and mail-order houses;Fuel dealers;Food services and drinking places;Drinking places;Restaurants and other eating places;Full service restaurants;Limited service eating places
2018-01-01;444286;356043;405332;317089;389808;301565;88243;81003;76900;67879;9021;7240;16168;8878;4719;4159;0;2299;7290;1227;6063;23535;21084;803;1933;60393;54910;52638;3792;27699;23606;38954;15780;11643;594;2314;6322;1220;2076;1849;5964;2816;1187;1219;50594;9120;2638;6482;41474;35948;5526;9472;2144;1067;1077;1313;53006;43140;5831;54478;2033;47791;24145;23646
2018-02-01;435373;345645;398494;308766;380671;290943;89728;82701;77775;67635;10140;7027;15673;8701;4798;3903;0;2057;6972;1221;5751;23507;20764;821;1826;56483;50967;48708;3792;25667;21410;36879;18424;12926;626;2635;7061;1251;2696;2569;5673;3076;1230;646;50770;9663;3041;6622;41107;35461;5646;9235;2071;887;1184;1366;48632;40701;3807;54702;2009;47531;24068;23463
2018-03-01;508383;398623;466197;356437;444994;335234;109760;101441;94586;83075;11511;8319;17766;10185;5669;4516;0;2351;7581;1415;6166;29753;25690;994;2317;63791;57356;54758;4436;28477;23426;42186;22207;16382;774;3429;9081;1471;3275;2293;7049;3853;1720;665;59068;11481;3643;7838;47587;41098;6489;10348;2311;950;1361;1544;54589;46222;3582;63389;0;55287;27766;27521
2018-04-01;480373;380907;437800;338334;420245;320779;99466;91695;84366;74595;9771;7771;16200;9365;5011;4354;0;2183;6835;1315;5520;32034;27423;1016;2362;59571;53647;50995;4143;27155;22611;42573;20463;14945;830;3325;8070;1268;2920;2348;6329;3597;1358;638;53805;10567;3551;7016;43238;37228;6010;10121;2193;859;1334;1437;52528;45015;2818;60128;0;52178;25987;26191
2018-05-01;527991;418752;480549;371310;464050;354811;109239;100854;92690;82342;10348;8385;17511;10114;5377;4737;0;2395;7397;1498;5899;37940;32365;1152;2726;64527;57855;55109;4702;28960;24157;47442;23560;17132;867;3692;9546;1436;3158;2973;6788;3859;1438;707;60281;12014;3860;8154;48267;41417;6850;12184;2469;864;1605;1495;55618;48188;2211;63941;0;55905;27820;28085
2018-06-01;507106;402227;460356;355477;443577;338698;104879;96675;88505;78485;10020;8204;17425;9921;5409;4512;0;2209;7504;1479;6025;34966;30594;1174;2509;62765;56107;53351;4740;27655;22659;46750;21294;15676;780;3194;8767;1558;2893;2469;6822;4151;1259;647;58091;11166;3421;7745;46925;40547;6378;11197;2403;801;1602;1415;51733;45294;1813;63529;0;56132;27818;28314
2018-07-01;505209;401379;458120;354290;441767;337937;103830;95619;88463;78428;10035;8211;17294;9916;5287;4629;0;2354;7378;1460;5918;33133;29673;1150;2350;63399;56720;53962;4761;27467;22881;47089;21733;15944;676;3109;9142;1606;3255;2286;6366;3928;1046;620;57383;10979;3273;7706;46404;40132;6272;10531;2596;923;1673;1336;53542;47154;1886;63442;0;56429;27696;28733
2018-08-01;520544;412163;472671;364290;456030;347649;108381;99859;92692;82340;10352;8522;18260;10399;5534;4865;0;2531;7861;1514;6347;32075;28644;1197;2364;63628;57015;54230;4697;28904;23994;47873;23121;16608;721;3270;9501;1610;3898;2371;7361;4145;1100;1247;60099;12083;3423;8660;48016;41593;6423;11168;2970;1355;1615;1491;55160;48469;2043;64514;0;56674;27881;28793
2018-09-01;477137;381171;432695;336729;417172;321206;95966;88197;82407;73197;9210;7769;17039;9759;5382;4377;0;2263;7280;1340;5940;29354;26048;1042;2172;61186;54910;52296;4416;26846;22167;44442;19782;14709;738;3071;8244;1315;2736;2110;6100;3198;1182;886;54945;10371;3191;7180;44574;38362;6212;10198;2506;944;1562;1376;51314;44922;2050;59965;0;51577;25229;26348
2018-10-01;503602;404569;456531;357498;441878;342845;99033;90587;85177;75794;9383;8446;17301;9966;5175;4791;0;2449;7335;1406;5929;32490;28547;1143;2385;62554;56019;53358;4555;29355;24713;47071;21203;15833;765;3406;8989;1297;2841;2300;6039;3266;1282;654;57771;10995;3324;7671;46776;40187;6589;11441;3105;864;2241;1565;57620;49855;2962;61724;0;53058;25858;27200
2018-11-01;518457;423227;476440;381210;459319;364089;95230;87350;82531;73608;8923;7880;20335;10770;5491;5279;0;3150;9565;1522;8043;29908;26446;936;2263;63656;56647;54139;4926;28786;23708;42017;25364;19074;839;4010;10851;1680;3288;2726;7290;3760;1986;680;66319;14562;4850;9712;51757;44281;7476;11058;2504;872;1632;1438;69356;61028;3487;59138;0;51176;25062;26114
2018-12-01;556614;455566;518437;417389;493526;392478;101048;93824;89379;80750;8629;7224;22124;11120;5427;5693;0;3808;11004;1393;9611;27530;23986;817;2260;68047;59177;56691;6128;30794;24750;38177;33950;23481;1012;4392;13626;2190;4217;5789;9348;5106;2101;1149;77968;19082;6356;12726;58886;50429;8457;11455;3052;977;2075;1399;73085;64279;4040;63088;0;55411;28544;26867
