Date;Retail and food services sales, total;Retail sales and food services excl motor vehicle and parts;Retail sales and food services excl gasoline stations;Retail sales and food services excl motor vehicle and parts and gasoline stations;Retail sales, total;Retail sales, total (excl. motor vehicle and parts dealers);Motor vehicle and parts dealers;Automobile and other motor vehicle dealers;Automobile dealers;New car dealers;Used car dealers;Automotive parts, acc., and tire stores;Furniture, home furn, electronics, and appliance stores;Furniture and home furnishings stores;Furniture stores;Home furnishings stores;Floor covering stores;All other home furnishings stores;Electronics and appliance stores;Household appliance stores;Electronics stores;Building mat. and garden equip. and supplies dealers;Building mat. and supplies dealers;Paint and wallpaper stores;Hardware stores;Food and beverage stores;Grocery stores;Supermarkets and other grocery (except convenience) stores;Beer, wine, and liquor stores;Health and personal care stores;Pharmacies and drug stores;Gasoline stations;Clothing and clothing access. stores;Clothing stores;Men's clothing stores;Women's clothing stores;Family clothing stores;Other clothing stores;Shoe stores;Jewelry stores;Sporting goods, hobby, musical instrument, and book stores;Sporting goods stores;Hobby, toy, and game stores;Book stores;General merchandise stores;Department stores;Department stores(excl. discount department stores);Discount dept. stores;Other general merchandise stores;Warehouse clubs and superstores;All other gen. merchandise stores;Miscellaneous store retailers;Office supplies, stationery, and gift stores;Office supplies and stationery stores;Gift, novelty, and souvenir stores;Used merchandise stores;Nonstore retailers;Electronic shopping and mail-order houses;Fuel dealers;Food services and drinking places;Drinking places;Restaurants and other eating places;Full service restaurants;Limited service eating places
2020-01-01;480301;386934;440605;347238;418734;325367;93367;85832;81214;72074;9140;7535;16569;9490;5148;4342;0;2422;7079;1230;5849;26966;23709;928;2059;64567;58722;56141;4188;28987;24440;39696;16873;12287;599;2402;6899;1225;2148;2141;5867;2984;1174;990;53203;8479;2146;6333;44724;38811;5913;10394;2037;963;1074;1501;62245;53485;4240;61567;0;54131;27018;27113
2020-02-01;478467;380639;441504;343676;415511;317683;97828;90586;85140;74360;10780;7242;16139;9452;5287;4165;0;2211;6687;1234;5453;26237;23025;920;1954;61962;55870;53306;4318;27756;23183;36963;19232;13439;615;2662;7535;1344;2701;2751;5632;3107;1200;593;54596;9067;2473;6594;45529;39451;6078;10302;1953;816;1137;1551;58864;50716;3565;62956;0;54911;0;27062
2020-03-01;478267;395880;444006;361619;430527;348140;82387;74904;68937;59487;9450;7483;13975;8159;4499;3660;0;1525;5816;1283;4533;32152;27984;1085;2372;80990;73901;71296;5249;30888;26974;34261;10969;7584;302;1493;4259;788;1686;1505;5287;3452;862;406;63624;8158;1305;6853;55466;47739;7727;9580;1646;868;778;1028;66414;58622;3016;47740;0;42238;0;24159
2020-04-01;407227;337693;380417;310883;377210;307676;69534;62554;56635;50131;6504;6980;7017;3977;2004;1973;0;403;3040;1128;1912;35916;30023;947;2839;71064;64383;62127;4938;25724;23910;26810;2744;1736;86;469;688;248;462;511;3484;2599;360;169;54576;5941;11;5930;48635;41322;7313;7319;816;605;211;420;73022;67339;2069;30017;0;27674;0;20001
2020-05-01;504607;397245;472562;365200;462286;354924;107362;98852;88480;77773;10707;8510;11301;7349;4259;3090;0;1276;3952;1441;2511;42422;35986;1092;3495;76438;68436;65735;5950;26251;23648;32045;8787;5504;155;1099;3089;569;1624;1557;6353;4378;1120;275;63381;8768;1049;7719;54613;46287;8326;9812;1220;707;513;882;78134;72558;1741;42321;0;39803;0;26498
2020-06-01;532678;418450;496364;382136;481205;366977;114228;104941;93559;81593;11966;9287;15601;9993;5730;4263;0;2102;5608;1681;3927;42092;36397;1240;3350;71799;63973;61229;5780;28279;24655;36314;16442;11080;303;2027;6955;946;2692;2452;8390;5887;1420;388;60501;9047;1524;7523;51454;43615;7839;11544;1640;780;860;1246;76015;69954;1577;51473;0;48350;0;28789
2020-07-01;549416;433183;510540;394307;494905;378672;116233;107082;97104;84691;12413;9151;17180;10625;5957;4668;0;2440;6555;1731;4824;39430;34870;1271;3028;75085;66892;63980;6106;29573;25460;38876;17779;12098;405;2373;7077;1156;2722;2679;8011;5435;1409;437;61674;9384;1591;7793;52290;44706;7584;11992;2020;869;1151;1300;79072;72123;1603;54511;0;51178;0;30214
2020-08-01;545307;429379;506577;390649;488949;373021;115928;106956;98206;86015;12191;8972;17856;11017;5847;5170;0;2647;6839;1747;5092;36664;32612;1216;2891;72353;64500;61571;5813;28918;24757;38730;18968;12933;379;2386;7768;1158;2822;2877;8218;5163;1508;770;62304;9879;1739;8140;52425;45080;7345;11842;2210;1105;1105;1491;77168;70505;1630;56358;0;52457;0;30013
2020-09-01;530987;417929;493756;380698;476247;363189;113058;104451;96980;85909;11071;8607;17530;11071;6112;4959;0;2506;6459;1665;4794;36930;32647;1225;2760;69741;62100;59353;5582;29462;25237;37231;18790;12912;401;2494;7561;1150;2643;2882;7794;4803;1582;620;58567;9182;1786;7396;49385;42093;7292;11604;2153;968;1185;1357;75540;68425;1885;54740;0;50423;0;28743
2020-10-01;553114;438435;514953;400274;495722;381043;114679;105948;98478;87522;10956;8731;17979;11114;6053;0;0;0;6865;1722;5143;37582;33018;1208;2763;71957;64017;61259;5766;30630;26435;38161;20088;14165;0;2634;8520;1171;2677;2872;7657;4684;1674;455;63203;9733;1913;7820;53470;45714;7756;12400;2601;800;1801;1607;81386;73023;2262;57392;0;52829;0;29950
2020-11-01;543273;440053;508879;405659;492362;389142;103220;95304;89223;79269;9954;7916;19483;11187;5894;0;0;0;8296;1705;6591;34662;30633;1012;2553;71879;63920;61341;5796;28575;24294;34394;21287;15038;0;2726;8976;1331;2617;3245;8368;4620;2412;496;66964;11235;2357;8878;55729;47744;7985;11988;1860;724;1136;1537;91542;83769;2563;50911;0;46984;0;27249
2020-12-01;611429;494937;574794;458302;559932;443440;116492;108612;101956;92388;9568;7880;21613;12129;6153;0;0;0;9484;1763;7721;34524;30123;945;2795;77260;67027;64236;7366;33670;27862;36635;32237;19983;604;3399;12137;1685;3824;7824;11319;6799;2617;900;77086;14624;3492;11132;62462;53210;9252;13939;2616;912;1704;1465;105157;96203;3723;51497;0;47987;0;28640
